"","Id","Position","First.Name","Nickname","Last.Name","FPPG","Played","Salary","Game","Team","Opponent","Injury.Indicator","Injury.Details","X","X.1"
"1","20431-62497","RB","David","David Johnson","Johnson",22.9874992370605,16,9400,"ARI@DET","ARI","DET","","",NA,NA
"2","20431-11612","WR","Antonio","Antonio Brown","Brown",16.9533335367839,15,9100,"PIT@CLE","PIT","CLE","","",NA,NA
"3","20431-14190","WR","Julio","Julio Jones","Jones",15.5999995640346,14,9000,"ATL@CHI","ATL","CHI","","",NA,NA
"4","20431-31360","WR","Odell","Odell Beckham Jr.","Beckham Jr.",15.3812503814697,16,8800,"NYG@DAL","NYG","DAL","","",NA,NA
"5","20431-6616","QB","Matt","Matt Ryan","Ryan",22.1537494659424,16,8500,"ATL@CHI","ATL","CHI","","",NA,NA
"6","20431-6779","RB","LeSean","LeSean McCoy","McCoy",18.2199991861979,15,8500,"NYJ@BUF","BUF","NYJ","","",NA,NA
"7","20431-14187","WR","A.J.","A.J. Green","Green",15.3399993896484,10,8400,"BAL@CIN","CIN","BAL","","",NA,NA
"8","20431-6894","QB","Aaron","Aaron Rodgers","Rodgers",24.1887493133545,16,8300,"SEA@GB","GB","SEA","","",NA,NA
"9","20431-32384","WR","Mike","Mike Evans","Evans",16.0062503814697,16,8300,"TB@MIA","TB","MIA","","",NA,NA
"10","20431-22038","QB","Kirk","Kirk Cousins","Cousins",19.5174999237061,16,8100,"PHI@WAS","WAS","PHI","","",NA,NA
"11","20431-22015","QB","Russell","Russell Wilson","Wilson",17.5037498474121,16,8000,"SEA@GB","SEA","GB","","",NA,NA
"12","20431-22031","WR","T.Y.","T.Y. Hilton","Hilton",14.2687501907349,16,8000,"IND@LA","IND","LA","","",NA,NA
"13","20431-24849","QB","Jameis","Jameis Winston","Winston",17.1312503814697,16,7800,"TB@MIA","TB","MIA","","",NA,NA
"14","20431-29358","QB","Marcus","Marcus Mariota","Mariota",17.9293334960938,15,7800,"OAK@TEN","TEN","OAK","","",NA,NA
"15","20431-31716","QB","Dak","Dak Prescott","Prescott",18.1800003051758,16,7800,"NYG@DAL","DAL","NYG","","",NA,NA
"16","20431-11435","WR","Dez","Dez Bryant","Bryant",11.9230769230769,13,7800,"NYG@DAL","DAL","NYG","","",NA,NA
"17","20431-6893","WR","Jordy","Jordy Nelson","Nelson",16.0125007629395,16,7700,"SEA@GB","GB","SEA","","",NA,NA
"18","20431-45859","QB","Derek","Derek Carr","Carr",18.2986673990885,15,7700,"OAK@TEN","OAK","TEN","","",NA,NA
"19","20431-6654","QB","Matthew","Matthew Stafford","Stafford",18.1112499237061,16,7600,"ARI@DET","DET","ARI","","",NA,NA
"20","20431-14377","QB","Tyrod","Tyrod Taylor","Taylor",18.4613342285156,15,7500,"NYJ@BUF","BUF","NYJ","","",NA,NA
"21","20431-42142","RB","Jordan","Jordan Howard","Howard",14.3733337402344,15,7500,"ATL@CHI","CHI","ATL","","",NA,NA
"22","20431-14225","QB","Andy","Andy Dalton","Dalton",16.7900009155273,16,7400,"BAL@CIN","CIN","BAL","","",NA,NA
"23","20431-6748","QB","Carson","Carson Palmer","Palmer",17.1413330078125,15,7300,"ARI@DET","ARI","DET","","",NA,NA
"24","20431-6826","QB","Eli","Eli Manning","Manning",15.0112495422363,16,7300,"NYG@DAL","NYG","DAL","","",NA,NA
"25","20431-22037","RB","Lamar","Lamar Miller","Miller",12.5428575788225,14,7300,"JAC@HOU","HOU","JAC","","",NA,NA
"26","20431-30447","RB","Todd","Todd Gurley","Gurley",11.0437498092651,16,7300,"IND@LA","LA","IND","","",NA,NA
"27","20431-34308","QB","Blake","Blake Bortles","Bortles",17.9125003814697,16,7200,"JAC@HOU","JAC","HOU","","",NA,NA
"28","20431-16606","WR","DeAndre","DeAndre Hopkins","Hopkins",9.89999961853027,16,7100,"JAC@HOU","HOU","JAC","","",NA,NA
"29","20431-70324","QB","Carson","Carson Wentz","Wentz",14.2174997329712,16,7100,"PHI@WAS","PHI","WAS","","",NA,NA
"30","20431-21980","WR","Alshon","Alshon Jeffery","Jeffery",10.0083332061768,12,7000,"PHI@WAS","PHI","WAS","","",NA,NA
"31","20431-24641","WR","Sammy","Sammy Watkins","Watkins",8.625,8,6900,"IND@LA","LA","IND","","",NA,NA
"32","20431-6739","WR","DeSean","DeSean Jackson","Jackson",10.1666666666667,15,6900,"TB@MIA","TB","MIA","","",NA,NA
"33","20431-9371","RB","Marshawn","Marshawn Lynch","Lynch",10.8857138497489,7,6900,"OAK@TEN","OAK","TEN","","",NA,NA
"34","20431-9392","WR","Michael","Michael Crabtree","Crabtree",12.1750001907349,16,6900,"OAK@TEN","OAK","TEN","","",NA,NA
"35","20431-11485","WR","Golden","Golden Tate","Tate",11.1000003814697,16,6900,"ARI@DET","DET","ARI","","",NA,NA
"36","20431-6759","WR","Brandon","Brandon Marshall","Marshall",8.42000020345052,15,6800,"NYG@DAL","NYG","DAL","","",NA,NA
"37","20431-45889","WR","Davante","Davante Adams","Adams",13.0749998092651,16,6800,"SEA@GB","GB","SEA","","",NA,NA
"38","20431-28473","RB","Carlos","Carlos Hyde","Hyde",13.7384620079627,13,6800,"CAR@SF","SF","CAR","","",NA,NA
"39","20431-14336","RB","Jacquizz","Jacquizz Rodgers","Rodgers",8.43000030517578,10,6700,"TB@MIA","TB","MIA","","",NA,NA
"40","20431-6898","QB","Jay","Jay Cutler","Cutler",10.3519996643066,5,6700,"TB@MIA","MIA","TB","","",NA,NA
"41","20431-25410","QB","Mike","Mike Glennon","Glennon",9,1,6700,"ATL@CHI","CHI","ATL","","",NA,NA
"42","20431-28643","WR","Allen","Allen Robinson","Robinson",10.1750001907349,16,6700,"JAC@HOU","JAC","HOU","","",NA,NA
"43","20431-6774","WR","Pierre","Pierre Garcon","Garcon",10.1000003814697,16,6600,"CAR@SF","SF","CAR","","",NA,NA
"44","20431-6803","QB","Josh","Josh McCown","McCown",11.6199996948242,5,6600,"NYJ@BUF","NYJ","BUF","","",NA,NA
"45","20431-6914","TE","Greg","Greg Olsen","Olsen",10.4562501907349,16,6600,"CAR@SF","CAR","SF","","",NA,NA
"46","20431-29734","RB","Ty","Ty Montgomery","Montgomery",7.9,15,6600,"SEA@GB","GB","SEA","","",NA,NA
"47","20431-38435","QB","Jared","Jared Goff","Goff",8.59428569248744,7,6600,"IND@LA","LA","IND","","",NA,NA
"48","20431-24929","WR","Kelvin","Kelvin Benjamin","Benjamin",10.3500003814697,16,6500,"CAR@SF","CAR","SF","","",NA,NA
"49","20431-62538","WR","Cameron","Cameron Meredith","Meredith",10.4628568376814,14,6500,"ATL@CHI","CHI","ATL","","",NA,NA
"50","20431-9421","RB","Danny","Danny Woodhead","Woodhead",12.0500001907349,2,6500,"BAL@CIN","BAL","CIN","","",NA,NA
"51","20431-11501","WR","Eric","Eric Decker","Decker",11.966667175293,3,6500,"OAK@TEN","TEN","OAK","","",NA,NA
"52","20431-25969","QB","Tom","Tom Savage","Savage",5.87999979654948,3,6500,"JAC@HOU","HOU","JAC","","",NA,NA
"53","20431-54684","RB","Isaiah","Isaiah Crowell","Crowell",11.5687503814697,16,6500,"PIT@CLE","CLE","PIT","","",NA,NA
"54","20431-54879","QB","Deshaun","Deshaun Watson","Watson",0,0,6500,"JAC@HOU","HOU","JAC","","",NA,NA
"55","20431-55050","RB","Christian","Christian McCaffrey","McCaffrey",0,0,6500,"CAR@SF","CAR","SF","","",NA,NA
"56","20431-31394","WR","Jarvis","Jarvis Landry","Landry",11.5187501907349,16,6400,"TB@MIA","MIA","TB","","",NA,NA
"57","20431-6883","WR","Larry","Larry Fitzgerald","Fitzgerald",11.8937501907349,16,6400,"ARI@DET","ARI","DET","","",NA,NA
"58","20431-29587","QB","Cody","Cody Kessler","Kessler",8.77777777777778,9,6400,"PIT@CLE","CLE","PIT","","",NA,NA
"59","20431-52442","RB","Joe","Joe Mixon","Mixon",0,0,6400,"BAL@CIN","CIN","BAL","","",NA,NA
"60","20431-54607","RB","Terrance","Terrance West","West",9.625,16,6400,"BAL@CIN","BAL","CIN","","",NA,NA
"61","20431-21994","QB","Brock","Brock Osweiler","Osweiler",12.2986663818359,15,6400,"PIT@CLE","CLE","PIT","","",NA,NA
"62","20431-7872","QB","Brian","Brian Hoyer","Hoyer",13.2666664123535,6,6400,"CAR@SF","SF","CAR","","",NA,NA
"63","20431-30968","RB","Eddie","Eddie Lacy","Lacy",8.15999984741211,5,6300,"SEA@GB","SEA","GB","","",NA,NA
"64","20431-33260","WR","DeVante","DeVante Parker","Parker",8.42666676839193,15,6300,"TB@MIA","MIA","TB","","",NA,NA
"65","20431-38628","QB","Mitchell","Mitchell Trubisky","Trubisky",0,0,6300,"ATL@CHI","CHI","ATL","","",NA,NA
"66","20431-15212","WR","Terrelle","Terrelle Pryor Sr.","Pryor Sr.",10.9337501525879,16,6200,"PHI@WAS","WAS","PHI","","",NA,NA
"67","20431-27776","RB","Tevin","Tevin Coleman","Coleman",13.5076927771935,13,6200,"ATL@CHI","ATL","CHI","","",NA,NA
"68","20431-11512","TE","Jimmy","Jimmy Graham","Graham",9.80000019073486,16,6200,"SEA@GB","SEA","GB","","",NA,NA
"69","20431-11779","RB","LeGarrette","LeGarrette Blount","Blount",14.3374996185303,16,6200,"PHI@WAS","PHI","WAS","","",NA,NA
"70","20431-14231","QB","Colin","Colin Kaepernick","Kaepernick",18.5854547674006,11,6200,"CAR@SF","SF","CAR","","",NA,NA
"71","20431-6733","RB","Jonathan","Jonathan Stewart","Stewart",10.953845684345,13,6100,"CAR@SF","CAR","SF","","",NA,NA
"72","20431-27229","RB","Ameer","Ameer Abdullah","Abdullah",12.1499996185303,2,6100,"ARI@DET","DET","ARI","","",NA,NA
"73","20431-6808","QB","Matt","Matt Moore","Moore",14.4350004196167,4,6100,"TB@MIA","MIA","TB","","",NA,NA
"74","20431-6863","TE","Delanie","Delanie Walker","Walker",10.3733337402344,15,6100,"OAK@TEN","TEN","OAK","","",NA,NA
"75","20431-33557","TE","Tyler","Tyler Eifert","Eifert",10.4875001907349,8,6100,"BAL@CIN","CIN","BAL","","",NA,NA
"76","20431-7283","WR","Jeremy","Jeremy Maclin","Maclin",7.29166666666667,12,6100,"BAL@CIN","BAL","CIN","","",NA,NA
"77","20431-22103","WR","Marvin","Marvin Jones Jr.","Jones Jr.",9.65333353678385,15,6100,"ARI@DET","DET","ARI","","",NA,NA
"78","20431-22163","WR","Rishard","Rishard Matthews","Matthews",11.1875,16,6100,"OAK@TEN","TEN","OAK","","",NA,NA
"79","20431-8023","QB","Josh","Josh Johnson","Johnson",0,0,6100,"NYG@DAL","NYG","DAL","","",NA,NA
"80","20431-28677","QB","Matt","Matt McGloin","McGloin",0.566666682561239,3,6000,"PHI@WAS","PHI","WAS","","",NA,NA
"81","20431-14344","QB","T.J.","T.J. Yates","Yates",5.94999980926514,4,6000,"NYJ@BUF","BUF","NYJ","","",NA,NA
"82","20431-30761","QB","Nathan","Nathan Peterman","Peterman",0,0,6000,"NYJ@BUF","BUF","NYJ","","",NA,NA
"83","20431-80008","QB","Alek","Alek Torgersen","Torgersen",0,0,6000,"ATL@CHI","ATL","CHI","","",NA,NA
"84","20431-57537","QB","DeShone","DeShone Kizer","Kizer",0,0,6000,"PIT@CLE","CLE","PIT","","",NA,NA
"85","20431-28896","QB","Bart","Bart Houston","Houston",0,0,6000,"PIT@CLE","PIT","CLE","","",NA,NA
"86","20431-6373","QB","Derek","Derek Anderson","Anderson",5.38000011444092,4,6000,"CAR@SF","CAR","SF","","",NA,NA
"87","20431-22820","QB","Matt","Matt Simms","Simms",0,0,6000,"ATL@CHI","ATL","CHI","","",NA,NA
"88","20431-22848","QB","Austin","Austin Davis","Davis",7.39333343505859,3,6000,"SEA@GB","SEA","GB","","",NA,NA
"89","20431-31047","QB","AJ","AJ McCarron","McCarron",8.17999976021903,7,6000,"BAL@CIN","CIN","BAL","","",NA,NA
"90","20431-14696","QB","Scott","Scott Tolzien","Tolzien",5.46999979019165,2,6000,"IND@LA","IND","LA","","",NA,NA
"91","20431-45420","QB","Zach","Zach Terrell","Terrell",0,0,6000,"BAL@CIN","BAL","CIN","","",NA,NA
"92","20431-22894","QB","Kellen","Kellen Moore","Moore",13.0200004577637,3,6000,"NYG@DAL","DAL","NYG","","",NA,NA
"93","20431-53616","QB","Skyler","Skyler Howard","Howard",0,0,6000,"SEA@GB","SEA","GB","","",NA,NA
"94","20431-24949","QB","EJ","EJ Manuel","Manuel",1.48800001144409,5,6000,"OAK@TEN","OAK","TEN","","",NA,NA
"95","20431-41343","QB","Nick","Nick Marshall","Marshall",0,5,6000,"NYJ@BUF","NYJ","BUF","","",NA,NA
"96","20431-6535","WR","Kenny","Kenny Britt","Britt",10.8133331298828,15,6000,"PIT@CLE","CLE","PIT","","",NA,NA
"97","20431-41406","QB","Sefo","Sefo Liufau","Liufau",0,0,6000,"TB@MIA","TB","MIA","","",NA,NA
"98","20431-31170","QB","Brandon","Brandon Allen","Allen",0,0,6000,"JAC@HOU","JAC","HOU","","",NA,NA
"99","20431-45565","QB","Taysom","Taysom Hill","Hill",0,0,6000,"SEA@GB","GB","SEA","","",NA,NA
"100","20431-6679","QB","Matt","Matt Schaub","Schaub",0.146666665871938,3,6000,"ATL@CHI","ATL","CHI","","",NA,NA
"101","20431-6687","QB","Mark","Mark Sanchez","Sanchez",0.759999990463257,2,6000,"ATL@CHI","CHI","ATL","","",NA,NA
"102","20431-23075","QB","Alex","Alex Tanney","Tanney",7.96000003814697,1,6000,"OAK@TEN","TEN","OAK","","",NA,NA
"103","20431-41562","QB","Nick","Nick Mullens","Mullens",0,0,6000,"CAR@SF","SF","CAR","","",NA,NA
"104","20431-47772","QB","Brandon","Brandon Doughty","Doughty",0,0,6000,"TB@MIA","MIA","TB","","",NA,NA
"105","20431-6840","RB","Frank","Frank Gore","Gore",12.1999998092651,16,6000,"IND@LA","IND","LA","","",NA,NA
"106","20431-31421","QB","Zach","Zach Mettenberger","Mettenberger",7.02857153756278,7,6000,"PIT@CLE","PIT","CLE","","",NA,NA
"107","20431-41732","QB","Christian","Christian Hackenberg","Hackenberg",0,0,6000,"NYJ@BUF","NYJ","BUF","","",NA,NA
"108","20431-29445","QB","Sean","Sean Mannion","Mannion",-0.340000003576279,1,6000,"IND@LA","LA","IND","","",NA,NA
"109","20431-27423","QB","Trevor","Trevor Knight","Knight",0,0,6000,"ARI@DET","ARI","DET","","",NA,NA
"110","20431-70446","QB","Joe","Joe Callahan","Callahan",0,0,6000,"SEA@GB","GB","SEA","","",NA,NA
"111","20431-70464","QB","Josh","Josh Woodrum","Woodrum",0,0,6000,"BAL@CIN","BAL","CIN","","",NA,NA
"112","20431-41827","QB","Phillip","Phillip Walker","Walker",0,0,6000,"IND@LA","IND","LA","","",NA,NA
"113","20431-39795","QB","Davis","Davis Webb","Webb",0,0,6000,"NYG@DAL","NYG","DAL","","",NA,NA
"114","20431-29605","QB","Matt","Matt Barkley","Barkley",12.1914280482701,7,6000,"CAR@SF","SF","CAR","","",NA,NA
"115","20431-43956","QB","David","David Fales","Fales",0.879999995231628,1,6000,"TB@MIA","MIA","TB","","",NA,NA
"116","20431-29713","QB","David","David Olson","Olson",0,0,6000,"BAL@CIN","BAL","CIN","","",NA,NA
"117","20431-29715","QB","Kevin","Kevin Hogan","Hogan",6.21999994913737,3,6000,"PIT@CLE","CLE","PIT","","",NA,NA
"118","20431-31798","QB","Bryce","Bryce Petty","Petty",6.54333305358887,6,6000,"NYJ@BUF","NYJ","BUF","","",NA,NA
"119","20431-33884","QB","Dane","Dane Evans","Evans",0,0,6000,"PHI@WAS","PHI","WAS","","",NA,NA
"120","20431-27801","QB","Nate","Nate Sudfeld","Sudfeld",0,0,6000,"PHI@WAS","WAS","PHI","","",NA,NA
"121","20431-29866","RB","Paul","Paul Perkins","Perkins",5.33076946551983,13,6000,"NYG@DAL","NYG","DAL","","",NA,NA
"122","20431-25812","QB","Stephen","Stephen Morris","Morris",0,0,6000,"IND@LA","IND","LA","","",NA,NA
"123","20431-29915","QB","Brett","Brett Hundley","Hundley",-0.129999995231628,4,6000,"SEA@GB","GB","SEA","","",NA,NA
"124","20431-11500","QB","Colt","Colt McCoy","McCoy",8.81999969482422,1,6000,"PHI@WAS","WAS","PHI","","",NA,NA
"125","20431-27982","QB","Jake","Jake Rudock","Rudock",0,0,6000,"ARI@DET","DET","ARI","","",NA,NA
"126","20431-27986","QB","C.J.","C.J. Beathard","Beathard",0,0,6000,"CAR@SF","SF","CAR","","",NA,NA
"127","20431-11615","QB","Joe","Joe Webb","Webb",0.114285715988704,7,6000,"CAR@SF","CAR","SF","","",NA,NA
"128","20431-32158","QB","Garrett","Garrett Gilbert","Gilbert",0,0,6000,"CAR@SF","CAR","SF","","",NA,NA
"129","20431-54705","QB","Dustin","Dustin Vaughan","Vaughan",0,0,6000,"BAL@CIN","BAL","CIN","","",NA,NA
"130","20431-21941","QB","Robert","Robert Griffin III","Griffin III",13.8880004882812,5,6000,"PIT@CLE","CLE","PIT","","",NA,NA
"131","20431-21959","QB","Brandon","Brandon Weeden","Weeden",11.4033330281576,6,6000,"JAC@HOU","HOU","JAC","","",NA,NA
"132","20431-44500","QB","Keith","Keith Wenning","Wenning",0,0,6000,"NYG@DAL","NYG","DAL","","",NA,NA
"133","20431-40407","QB","Joshua","Joshua Dobbs","Dobbs",0,0,6000,"PIT@CLE","PIT","CLE","","",NA,NA
"134","20431-7659","QB","Ryan","Ryan Fitzpatrick","Fitzpatrick",10.7428567068917,14,6000,"TB@MIA","TB","MIA","","",NA,NA
"135","20431-48622","QB","Jerod","Jerod Evans","Evans",0,0,6000,"PHI@WAS","PHI","WAS","","",NA,NA
"136","20431-28163","QB","Connor","Connor Cook","Cook",7,1,6000,"OAK@TEN","OAK","TEN","","",NA,NA
"137","20431-30253","QB","Jeff","Jeff Driskel","Driskel",0,0,6000,"BAL@CIN","CIN","BAL","","",NA,NA
"138","20431-7744","QB","Drew","Drew Stanton","Stanton",2.47600002288818,5,6000,"ARI@DET","ARI","DET","","",NA,NA
"139","20431-7778","QB","Matt","Matt Cassel","Cassel",4.41499996185303,4,6000,"OAK@TEN","TEN","OAK","","",NA,NA
"140","20431-32366","QB","Jameill","Jameill Showers","Showers",0,0,6000,"NYG@DAL","DAL","NYG","","",NA,NA
"141","20431-7844","QB","Chad","Chad Henne","Henne",-0.200000002980232,1,6000,"JAC@HOU","JAC","HOU","","",NA,NA
"142","20431-44715","QB","Cooper","Cooper Rush","Rush",0,0,6000,"NYG@DAL","DAL","NYG","","",NA,NA
"143","20431-32514","QB","Trevone","Trevone Boykin","Boykin",2.22499990463257,4,6000,"SEA@GB","SEA","GB","","",NA,NA
"144","20431-55140","QB","Brad","Brad Kaaya","Kaaya",0,0,6000,"ARI@DET","DET","ARI","","",NA,NA
"145","20431-14194","QB","Blaine","Blaine Gabbert","Gabbert",13.1999994913737,6,6000,"ARI@DET","ARI","DET","","",NA,NA
"146","20431-26483","QB","Geno","Geno Smith","Smith",4.46999979019165,2,6000,"NYG@DAL","NYG","DAL","","",NA,NA
"147","20431-8071","QB","Dan","Dan Orlovsky","Orlovsky",5.51999998092651,2,6000,"IND@LA","LA","IND","","",NA,NA
"148","20431-38817","QB","Tyler","Tyler Ferguson","Ferguson",0,0,6000,"OAK@TEN","TEN","OAK","","",NA,NA
"149","20431-30640","QB","Connor","Connor Shaw","Shaw",0,0,6000,"ATL@CHI","CHI","ATL","","",NA,NA
"150","20431-14267","QB","Ryan","Ryan Mallett","Mallett",-0.140000000596046,4,6000,"BAL@CIN","BAL","CIN","","",NA,NA
"151","20431-31561","WR","Donte","Donte Moncrief","Moncrief",9.73333316379123,9,5900,"IND@LA","IND","LA","","",NA,NA
"152","20431-29780","TE","Zach","Zach Ertz","Ertz",10.3285718645368,14,5900,"PHI@WAS","PHI","WAS","","",NA,NA
"153","20431-14257","WR","Randall","Randall Cobb","Cobb",9.1000002347506,13,5900,"SEA@GB","GB","SEA","","",NA,NA
"154","20431-39280","RB","Derrick","Derrick Henry","Henry",7.08571406773159,14,5800,"OAK@TEN","TEN","OAK","","",NA,NA
"155","20431-27477","WR","Sterling","Sterling Shepard","Shepard",9.49374961853027,16,5800,"NYG@DAL","NYG","DAL","","",NA,NA
"156","20431-33766","RB","Rob","Rob Kelley","Kelley",9.04285703386579,14,5800,"PHI@WAS","WAS","PHI","","",NA,NA
"157","20431-52451","RB","Samaje","Samaje Perine","Perine",0,0,5800,"PHI@WAS","WAS","PHI","","",NA,NA
"158","20431-7806","RB","Darren","Darren McFadden","McFadden",3.96666653951009,3,5800,"NYG@DAL","DAL","NYG","","",NA,NA
